userid,age,gender,city,count_sessions,time_first,time_last,time_last_purchase,time_full,time_full_s,value,value_c1,value_c2,value_c3,value_c4,value_c5,value_c6,age_bins,age_bins_name
10069,10,Ж,Москва,550,2021-12-30 13:08:25,2025-01-02 01:30:49,2024-12-14 01:20:47,0 days 10:06:09,36369,325981.24,813358.4328002208,928826.8049957256,1084087.4303265323,862992.7605530788,1048054.2577145937,930514.2392630149,1,<16
10070,38,М,Санкт-Петербург,582,2021-12-30 10:45:59,2025-01-02 00:13:16,2024-12-03 23:56:14,0 days 11:05:23,39923,292587.15,851491.5582649034,1052172.0609809484,983116.3452666398,833813.2146747373,1291846.5542172983,689346.5174099868,4,36-48
10071,71,М,Санкт-Петербург,534,2021-12-29 18:08:08,2025-01-03 06:15:27,2024-12-29 06:08:14,0 days 09:49:47,35387,199977.96,621771.6953034134,936100.370738064,967520.4801217846,717177.1242002901,728889.6485028493,1080889.3307732954,6,>60
10072,11,Ж,Красноярск,574,2021-12-27 09:24:38,2024-12-31 22:46:30,2024-11-30 22:20:37,0 days 11:05:00,39900,359025.0,844167.0063087686,1345113.1175862597,922225.1728470237,843113.3326436806,1167383.6128112085,873599.2239340479,1,<16
10073,67,Ж,Уфа,563,2022-01-01 10:31:09,2025-01-02 22:57:04,2024-11-24 22:30:37,0 days 10:07:45,36465,314763.0,765455.1945147868,706431.8822034401,789162.123623541,1065410.4372693012,834888.9836679108,856553.0121678824,6,>60
10074,14,Ж,Москва,558,2021-12-29 17:06:59,2025-01-02 04:38:17,2024-09-07 03:20:24,0 days 09:09:15,32955,169073.31,942880.6541352796,1168851.663352253,779404.5718672775,617651.8032077311,1190272.2635419653,670694.6432290508,1,<16
10075,12,Ж,Москва,556,2021-12-28 10:46:56,2025-01-01 22:30:26,2024-12-31 22:28:46,0 days 09:25:47,33947,352586.0,722123.2525917883,744324.0683731734,1018235.6951706788,1176673.073856571,783626.2117218666,935291.5057096302,1,<16
10076,78,М,Нижний Новгород,551,2021-12-28 09:29:31,2025-01-02 22:18:49,2024-12-26 22:15:28,0 days 10:34:39,38079,208836.43,935922.1567481987,877266.9349532526,1102360.2533383672,651594.1238491759,969705.7508033654,623163.5855616338,6,>60
10077,55,Ж,Москва,569,2021-12-31 15:01:05,2025-01-02 03:19:09,2024-12-11 02:58:44,0 days 09:54:29,35669,237393.0,808560.9090905436,821193.1403388568,968005.6893815076,846298.0303085817,868651.9634046305,555981.6834310225,5,48-60
10078,16,М,Воронеж,549,2021-12-30 16:31:33,2025-01-03 04:32:52,2024-12-28 04:26:49,0 days 09:49:35,35375,271819.0,824937.0627569826,839046.4831466142,775081.5537130245,814291.8351236997,1064519.0035806547,737557.75499439,2,16-24
10079,44,Ж,Челябинск,577,2021-12-28 17:44:03,2024-12-30 07:44:46,2024-11-24 07:28:48,0 days 11:30:46,41446,260234.82,1130639.0969927448,1404289.5822184323,1106484.9058379822,584219.5220375147,893223.0553718827,922817.3550421806,4,36-48
10080,66,М,Нижний Новгород,554,2021-12-27 20:36:09,2025-01-03 08:40:53,2025-01-02 08:36:42,0 days 09:51:05,35465,217643.14,528219.7262604458,831731.9642510295,1151194.2550434072,532975.9255872746,1228789.135097054,761625.6830642861,6,>60
10081,24,Ж,Красноярск,562,2021-12-28 18:50:52,2025-01-03 08:05:22,2024-12-11 07:43:22,0 days 10:48:09,38889,298764.19,850121.4251965949,1032351.290901257,721668.2486199938,804095.9116293933,982529.3874347339,867293.9122525032,2,16-24
10082,22,Ж,Санкт-Петербург,553,2021-12-29 08:22:22,2025-01-02 21:49:38,2024-11-12 21:22:00,0 days 11:13:49,40429,255714.0,879032.413451923,1035769.5593329123,1140582.1121482372,980274.1047725603,1222072.7418452527,930983.3125008596,2,16-24
10083,37,М,Казань,562,2021-12-27 18:43:39,2024-12-30 07:08:36,2024-10-26 06:25:47,0 days 10:02:00,36120,204254.11,768356.1745628216,1107135.6974758818,877055.8192071414,885836.6656465046,781413.0454115726,672192.2547736461,4,36-48
10084,23,М,Москва,556,2021-12-31 21:35:01,2024-12-31 10:40:38,2024-12-13 10:34:06,0 days 10:38:07,38287,280332.5,932058.7397177527,1228720.635476349,1166885.0734756112,937889.1432798549,895624.4119800176,889823.6620928632,2,16-24
10085,72,Ж,Омск,555,2021-12-29 13:10:25,2025-01-03 01:53:57,2024-10-07 00:54:32,0 days 10:28:52,37732,281401.0,959493.7734231277,947591.1784865549,1334542.152667277,522835.5792525574,1268098.7529815456,959132.1979882087,6,>60
10086,21,Ж,Екатеринбург,574,2021-12-28 22:51:08,2025-01-03 10:34:46,2024-12-21 10:24:30,0 days 09:21:57,33717,332789.0,768240.0393314778,791796.4754937558,993274.2594289485,1045745.3159687904,891478.0100114716,611249.8948576282,2,16-24
10087,76,Ж,Москва,543,2021-12-27 08:50:55,2025-01-02 21:08:32,2024-12-28 21:05:14,0 days 10:01:52,36112,253334.0,642526.5115020816,836119.9006240258,1059386.1522034209,697800.3458056585,701163.0628851592,750134.9913033368,6,>60
10088,35,М,Казань,575,2021-12-28 06:09:07,2025-01-03 19:20:10,2024-10-06 18:28:34,0 days 10:57:54,39474,242528.84000000003,1076121.193518808,1040882.3324916258,996616.4672679579,1129304.0586132852,880495.2844341234,1024442.286115176,3,25-35
10089,38,Ж,Санкт-Петербург,559,2021-12-29 01:31:55,2025-01-02 13:45:30,2024-10-31 13:05:33,0 days 09:48:14,35294,370366.0,1044747.3854989677,782139.0392561468,678892.9459990461,640439.3751664686,1221164.4727442926,1015169.0018838078,4,36-48
10090,48,Ж,Санкт-Петербург,557,2021-12-27 06:29:31,2025-01-01 18:31:10,2024-12-21 18:29:25,0 days 09:43:24,35004,179269.35,794705.6479929484,994653.5985203676,769425.7416058709,1016404.3754577511,822476.1883129079,873517.5560676245,4,36-48
10091,15,Ж,Красноярск,557,2021-12-26 21:25:52,2024-12-31 10:35:09,2024-12-27 10:33:04,0 days 10:47:07,38827,368357.93,893492.7641823655,1291743.596269017,1136180.8881438926,757009.8285981064,733962.8039325317,690028.5231570656,1,<16
10092,20,Ж,Москва,554,2021-12-30 01:14:16,2025-01-03 13:21:15,2025-01-03 13:21:15,0 days 09:47:21,35241,229119.0,733307.6802597537,873248.739047144,537851.4260087628,731268.4375991761,874385.6458401353,941275.2708788662,2,16-24
10093,20,Ж,Москва,566,2021-12-28 18:16:26,2025-01-03 07:17:50,2024-12-18 07:06:43,0 days 10:45:03,38703,270294.8,936106.8713161602,1249305.3177659262,1063733.2129109413,512053.90803036845,984719.802536295,862421.9097629498,2,16-24
10094,37,Ж,Челябинск,552,2021-12-29 07:18:48,2025-01-03 20:00:16,2024-12-21 19:52:54,0 days 10:17:52,37072,283756.07,1083445.4894003868,1075045.700735224,987458.9144034032,575391.965011822,1063541.2153952362,791618.5453286844,4,36-48
10095,69,Ж,Челябинск,580,2021-12-31 11:59:36,2025-01-01 00:48:26,2024-12-25 00:46:09,0 days 10:29:21,37761,279224.0,596940.9496136254,1079004.130744639,1137347.1053428494,823831.2715190799,1114003.2967722788,628293.4427420442,6,>60
10096,37,М,Новосибирск,540,2021-12-27 07:44:45,2025-01-03 20:03:44,2025-01-02 20:02:04,0 days 10:09:41,36581,225645.55,827757.7345222948,1065761.6059079058,1148899.4445690112,726560.1874332954,847549.5391165998,829198.0679759283,4,36-48
10097,41,М,Красноярск,575,2021-12-27 21:37:09,2025-01-02 10:53:10,2024-12-26 10:47:04,0 days 10:42:53,38573,380828.58,939739.2297303128,1096653.3193762735,1135315.5011458634,839198.9626256013,1036609.6681963544,957335.5456530969,4,36-48
10098,22,М,Санкт-Петербург,558,2021-12-28 21:48:18,2025-01-02 08:54:36,2024-10-04 07:59:11,0 days 08:50:48,31848,230611.93,766689.3122553179,705931.1128511115,623195.5091864277,616960.1296036616,767337.3388629889,772515.5161410559,2,16-24
10099,56,М,Уфа,561,2021-12-29 21:35:51,2024-12-31 09:27:53,2024-12-28 09:23:40,0 days 09:26:47,34007,137612.01,836483.741103671,712846.489656288,781071.9813755476,1178914.1495745515,746132.9211336793,807488.8354355608,5,48-60
10100,67,Ж,Ростов-на-Дону,553,2021-12-28 04:32:30,2024-12-31 17:21:04,2024-11-19 16:52:41,0 days 10:31:14,37874,235282.0,879783.4623770599,1147777.4789693642,1123640.6175897988,697571.5274268017,825803.4016896148,847598.5548934444,6,>60
10101,35,М,Санкт-Петербург,555,2021-12-27 17:57:39,2024-12-29 06:16:34,2024-12-26 06:15:05,0 days 09:57:27,35847,195247.47999999998,763492.4413814864,875747.1472128687,866351.7551508949,840223.4752094705,1093146.8404239935,777445.3095838903,3,25-35
10102,45,Ж,Новосибирск,568,2021-12-28 20:06:25,2025-01-03 09:20:06,2024-12-03 09:00:46,0 days 10:48:47,38927,294707.0,859864.7156804816,999161.2081441176,958772.7202398072,929461.2564430456,840379.292297795,895326.5182720113,4,36-48
10103,38,М,Москва,542,2021-12-29 00:08:15,2025-01-03 12:25:02,2025-01-03 12:25:02,0 days 09:59:14,35954,293944.0,825513.9477687489,700603.5195060528,1017850.4219420399,690949.4519123079,982153.2757175012,693449.2465561029,4,36-48
10104,59,М,Воронеж,585,2021-12-28 20:06:50,2025-01-02 09:36:44,2024-12-18 09:28:23,0 days 10:56:17,39377,255606.0,1109414.7223605895,1144121.7870176597,816535.5785227289,810474.9853701823,998881.141663863,865846.2101208634,5,48-60
10105,44,Ж,Уфа,556,2021-12-29 13:16:27,2025-01-03 01:15:40,2025-01-03 01:15:40,0 days 09:41:27,34887,251078.4,637384.3552233703,993424.3135513694,950796.5352314818,908555.5118436575,832159.6323546045,917544.2106556131,4,36-48
10106,22,М,Казань,556,2021-12-28 02:20:23,2025-01-03 15:09:46,2024-12-27 15:06:33,0 days 10:32:50,37970,439146.0,1290521.7977445393,1227097.0905439823,1252690.2897802815,858354.3271515593,823458.7385609123,702091.6627874088,2,16-24
